Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Idaho,West ada school district,Formal Challenge,41,2022-02-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Prosper independent school district,Administrator,41,2022-01-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,South carolina,Fort mill schools,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Birdville independent school district,Formal Challenge,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Canutillo independent school district,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Clear creek independent school district,Administrator,41,2021-12-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Cypress-fairbanks independent school district,Administrator,41,2021-12-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Fort bend isd,Formal Challenge,41,2022-01-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Keller independent school district,Formal Challenge,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Killeen independent school district,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Texas,Spring branch independent school district,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,Pennsylvania,North penn school district,Administrator,41,2021-09-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Utah,Canyons school district,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Virginia,Fairfax county public schools,Formal Challenge,41,2021-09-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Virginia,Hanover county public schools,Administrator,41,2022-01-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Virginia,Harrisonburg city public schools,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Virginia,Loudoun county public schools,Administrator,41,2021-09-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Virginia,Virginia beach city public schools,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Washington,Central kitsap school district,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Florida,Pinellas county schools,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Pennsylvania,Wissahickon school district,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Washington,Walla walla public schools,Formal Challenge,41,2022-02-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Pennsylvania,Kutztown area school district,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,Iowa,Waukee community school district,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Pennsylvania,Fairview school district,Administrator,41,2022-06-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Illinois,Community high school district 117,Administrator,41,2021-12-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Florida,Osceola county school district,Administrator,41,2022-04-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Florida,Brevard public schools,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Illinois,Harlem school district 122,Formal Challenge,41,2022-03-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Alaska,Anchorage school district,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,Illinois,Lake forest schools,Administrator,41,2021-12-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Iowa,Ankeny community school district,Formal Challenge,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Florida,Orange county public schools,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Kansas,Goddard public schools,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,New york,Connetquot central school district,Formal Challenge,41,2022-04-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,New york,Wappingers central school district,Formal Challenge,41,2022-03-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,New york,Yorktown central school district,Formal Challenge,41,2022-01-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Ohio,Hudson city schools,Administrator,41,2021-09-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Pennsylvania,Downingtown area school district,Administrator,41,2021-10-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,Pennsylvania,East stroudsburg area school district,Administrator,41,2021-11-01
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,Maine,Regional school unit no. 56,Formal Challenge,41,2022-06-01
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,Georgia,Forsyth county schools,Administrator,29,2022-01-01
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,Missouri,Nixa public schools,Formal Challenge,29,2022-05-01
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,Michigan,Rochester community schools district,Administrator,29,2022-04-01
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,Maryland,Wicomico county public schools,Administrator,29,2022-02-01
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,Kansas,Goddard public schools,Administrator,29,2021-11-01
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,Iowa,Waukee community school district,Administrator,29,2021-10-01
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,Florida,Indian river county school district,Administrator,29,2021-11-01
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,Florida,Osceola county school district,Administrator,29,2022-04-01
"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,Florida,Orange county public schools,Administrator,29,2021-11-01
"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,Florida,Flagler schools,Administrator,29,2021-11-01
