State,ID,District,Students_tested,Reading_proficiency_rate,Average_proficiency,Diff_from_mean_abs
Alabama,100005,Albertville city,2514,32.0,54.32355555555556,22.323555555555558
Alabama,100006,Marshall county,2988,36.0,54.32355555555556,18.323555555555558
Alabama,100007,Hoover city,7434,61.0,54.32355555555556,6.676444444444442
Alabama,100008,Madison city,5232,70.0,54.32355555555556,15.676444444444442
Alabama,100011,Leeds city,939,39.0,54.32355555555556,15.323555555555558
Alabama,100012,Boaz city,1245,39.0,54.32355555555556,15.323555555555558
Alabama,100013,Trussville city,2363,58.0,54.32355555555556,3.676444444444442
Alabama,100030,Alexander city,1536,38.0,54.32355555555556,16.323555555555558
Alabama,100060,Andalusia city,887,42.0,54.32355555555556,12.323555555555558
Alabama,100090,Anniston city,995,21.0,54.32355555555556,33.32355555555556
Alabama,100100,Arab city,1308,64.0,54.32355555555556,9.676444444444442
Alabama,100120,Athens city,1775,47.0,54.32355555555556,7.323555555555558
Alabama,100180,Attalla city,908,38.0,54.32355555555556,16.323555555555558
Alabama,100185,Saraland city,1480,51.0,54.32355555555556,3.323555555555558
Alabama,100188,Chickasaw city,487,26.0,54.32355555555556,28.323555555555558
Alabama,100189,Satsuma city,714,49.0,54.32355555555556,5.323555555555558
Alabama,100190,Alabaster city,3328,44.0,54.32355555555556,10.323555555555558
Alabama,100194,Pelham city,1700,47.0,54.32355555555556,7.323555555555558
Alabama,100210,Auburn city,4326,60.0,54.32355555555556,5.676444444444442
Alabama,100240,Autauga county,5163,48.0,54.32355555555556,6.323555555555558
Alabama,100270,Baldwin county,15955,42.0,54.32355555555556,12.323555555555558
Alabama,100300,Barbour county,454,15.0,54.32355555555556,39.32355555555556
Alabama,100330,Bessemer city,2011,16.0,54.32355555555556,38.32355555555556
Alabama,100360,Bibb county,1786,33.0,54.32355555555556,21.323555555555558
Alabama,100390,Birmingham city,12157,20.0,54.32355555555556,34.32355555555556
Alabama,100420,Blount county,4255,39.0,54.32355555555556,15.323555555555558
Alabama,100450,Brewton city,603,50.0,54.32355555555556,4.323555555555558
Alabama,100480,Bullock county,698,19.0,54.32355555555556,35.32355555555556
Alabama,100510,Butler county,1566,27.0,54.32355555555556,27.323555555555558
Alabama,100540,Calhoun county,4921,42.0,54.32355555555556,12.323555555555558
Alabama,100600,Chambers county,1920,30.0,54.32355555555556,24.323555555555558
Alabama,100630,Cherokee county,2133,41.0,54.32355555555556,13.323555555555558
Alabama,100660,Chilton county,4154,38.0,54.32355555555556,16.323555555555558
Alabama,100690,Choctaw county,834,24.0,54.32355555555556,30.323555555555558
Alabama,100720,Clarke county,1504,32.0,54.32355555555556,22.323555555555558
Alabama,100750,Clay county,1041,38.0,54.32355555555556,16.323555555555558
Alabama,100780,Cleburne county,1386,46.0,54.32355555555556,8.323555555555558
Alabama,100810,Coffee county,1084,39.0,54.32355555555556,15.323555555555558
Alabama,100840,Colbert county,1314,33.0,54.32355555555556,21.323555555555558
Alabama,100870,Conecuh county,728,27.0,54.32355555555556,27.323555555555558
Alabama,100900,Coosa county,552,30.0,54.32355555555556,24.323555555555558
Alabama,100930,Covington county,1703,41.0,54.32355555555556,13.323555555555558
Alabama,100960,Crenshaw county,1184,37.0,54.32355555555556,17.323555555555558
Alabama,100990,Cullman city,1630,61.0,54.32355555555556,6.676444444444442
Alabama,101020,Cullman county,5153,42.0,54.32355555555556,12.323555555555558
Alabama,101050,Dale county,1664,47.0,54.32355555555556,7.323555555555558
Alabama,101080,Daleville city,539,33.0,54.32355555555556,21.323555555555558
Alabama,101110,Dallas county,1708,23.0,54.32355555555556,31.323555555555558
Alabama,101140,Dekalb county,4748,33.0,54.32355555555556,21.323555555555558
Alabama,101170,Decatur city,4354,36.0,54.32355555555556,18.323555555555558
