Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,ID,Students_tested,Reading_proficiency_rate,Average_proficiency,District_bans,Year,Diff_from_mean
,,,Alabama,Albertville city,,0.0,100005.0,2514,32.0,54.32355555555556,0.0,2021,-22.32355555555556
,,,Alabama,Marshall county,,0.0,100006.0,2988,36.0,54.32355555555556,0.0,2021,-18.32355555555556
,,,Alabama,Hoover city,,0.0,100007.0,7434,61.0,54.32355555555556,0.0,2021,6.676444444444442
,,,Alabama,Madison city,,0.0,100008.0,5232,70.0,54.32355555555556,0.0,2021,15.676444444444442
,,,Alabama,Leeds city,,0.0,100011.0,939,39.0,54.32355555555556,0.0,2021,-15.323555555555558
,,,Alabama,Boaz city,,0.0,100012.0,1245,39.0,54.32355555555556,0.0,2021,-15.323555555555558
,,,Alabama,Trussville city,,0.0,100013.0,2363,58.0,54.32355555555556,0.0,2021,3.676444444444442
,,,Alabama,Alexander city,,0.0,100030.0,1536,38.0,54.32355555555556,0.0,2021,-16.323555555555558
,,,Alabama,Andalusia city,,0.0,100060.0,887,42.0,54.32355555555556,0.0,2021,-12.323555555555558
,,,Alabama,Anniston city,,0.0,100090.0,995,21.0,54.32355555555556,0.0,2021,-33.32355555555556
,,,Alabama,Arab city,,0.0,100100.0,1308,64.0,54.32355555555556,0.0,2021,9.676444444444442
,,,Alabama,Athens city,,0.0,100120.0,1775,47.0,54.32355555555556,0.0,2021,-7.323555555555558
,,,Alabama,Attalla city,,0.0,100180.0,908,38.0,54.32355555555556,0.0,2021,-16.323555555555558
,,,Alabama,Saraland city,,0.0,100185.0,1480,51.0,54.32355555555556,0.0,2021,-3.323555555555558
,,,Alabama,Chickasaw city,,0.0,100188.0,487,26.0,54.32355555555556,0.0,2021,-28.32355555555556
,,,Alabama,Satsuma city,,0.0,100189.0,714,49.0,54.32355555555556,0.0,2021,-5.323555555555558
,,,Alabama,Alabaster city,,0.0,100190.0,3328,44.0,54.32355555555556,0.0,2021,-10.323555555555558
,,,Alabama,Pelham city,,0.0,100194.0,1700,47.0,54.32355555555556,0.0,2021,-7.323555555555558
,,,Alabama,Auburn city,,0.0,100210.0,4326,60.0,54.32355555555556,0.0,2021,5.676444444444442
,,,Alabama,Autauga county,,0.0,100240.0,5163,48.0,54.32355555555556,0.0,2021,-6.323555555555558
,,,Alabama,Baldwin county,,0.0,100270.0,15955,42.0,54.32355555555556,0.0,2021,-12.323555555555558
,,,Alabama,Barbour county,,0.0,100300.0,454,15.0,54.32355555555556,0.0,2021,-39.32355555555556
,,,Alabama,Bessemer city,,0.0,100330.0,2011,16.0,54.32355555555556,0.0,2021,-38.32355555555556
,,,Alabama,Bibb county,,0.0,100360.0,1786,33.0,54.32355555555556,0.0,2021,-21.32355555555556
,,,Alabama,Birmingham city,,0.0,100390.0,12157,20.0,54.32355555555556,0.0,2021,-34.32355555555556
,,,Alabama,Blount county,,0.0,100420.0,4255,39.0,54.32355555555556,0.0,2021,-15.323555555555558
,,,Alabama,Brewton city,,0.0,100450.0,603,50.0,54.32355555555556,0.0,2021,-4.323555555555558
,,,Alabama,Bullock county,,0.0,100480.0,698,19.0,54.32355555555556,0.0,2021,-35.32355555555556
,,,Alabama,Butler county,,0.0,100510.0,1566,27.0,54.32355555555556,0.0,2021,-27.32355555555556
,,,Alabama,Calhoun county,,0.0,100540.0,4921,42.0,54.32355555555556,0.0,2021,-12.323555555555558
,,,Alabama,Chambers county,,0.0,100600.0,1920,30.0,54.32355555555556,0.0,2021,-24.32355555555556
,,,Alabama,Cherokee county,,0.0,100630.0,2133,41.0,54.32355555555556,0.0,2021,-13.323555555555558
,,,Alabama,Chilton county,,0.0,100660.0,4154,38.0,54.32355555555556,0.0,2021,-16.323555555555558
,,,Alabama,Choctaw county,,0.0,100690.0,834,24.0,54.32355555555556,0.0,2021,-30.32355555555556
,,,Alabama,Clarke county,,0.0,100720.0,1504,32.0,54.32355555555556,0.0,2021,-22.32355555555556
,,,Alabama,Clay county,,0.0,100750.0,1041,38.0,54.32355555555556,0.0,2021,-16.323555555555558
,,,Alabama,Cleburne county,,0.0,100780.0,1386,46.0,54.32355555555556,0.0,2021,-8.323555555555558
,,,Alabama,Coffee county,,0.0,100810.0,1084,39.0,54.32355555555556,0.0,2021,-15.323555555555558
,,,Alabama,Colbert county,,0.0,100840.0,1314,33.0,54.32355555555556,0.0,2021,-21.32355555555556
,,,Alabama,Conecuh county,,0.0,100870.0,728,27.0,54.32355555555556,0.0,2021,-27.32355555555556
,,,Alabama,Coosa county,,0.0,100900.0,552,30.0,54.32355555555556,0.0,2021,-24.32355555555556
,,,Alabama,Covington county,,0.0,100930.0,1703,41.0,54.32355555555556,0.0,2021,-13.323555555555558
,,,Alabama,Crenshaw county,,0.0,100960.0,1184,37.0,54.32355555555556,0.0,2021,-17.323555555555558
,,,Alabama,Cullman city,,0.0,100990.0,1630,61.0,54.32355555555556,0.0,2021,6.676444444444442
,,,Alabama,Cullman county,,0.0,101020.0,5153,42.0,54.32355555555556,0.0,2021,-12.323555555555558
,,,Alabama,Dale county,,0.0,101050.0,1664,47.0,54.32355555555556,0.0,2021,-7.323555555555558
,,,Alabama,Daleville city,,0.0,101080.0,539,33.0,54.32355555555556,0.0,2021,-21.32355555555556
,,,Alabama,Dallas county,,0.0,101110.0,1708,23.0,54.32355555555556,0.0,2021,-31.32355555555556
,,,Alabama,Dekalb county,,0.0,101140.0,4748,33.0,54.32355555555556,0.0,2021,-21.32355555555556
,,,Alabama,Decatur city,,0.0,101170.0,4354,36.0,54.32355555555556,0.0,2021,-18.32355555555556
,,,Alabama,Demopolis city,,0.0,101200.0,1175,42.0,54.32355555555556,0.0,2021,-12.323555555555558
,,,Alabama,Dothan city,,0.0,101230.0,4904,41.0,54.32355555555556,0.0,2021,-13.323555555555558
,,,Alabama,Elba city,,0.0,101260.0,325,32.0,54.32355555555556,0.0,2021,-22.32355555555556
,,,Alabama,Elmore county,,0.0,101290.0,5895,43.0,54.32355555555556,0.0,2021,-11.323555555555558
,,,Alabama,Enterprise city,,0.0,101320.0,3543,53.0,54.32355555555556,0.0,2021,-1.3235555555555578
