,Model,r2,MAE,MSE,avg_cv
0,mean_train,0.0,0.2996668,0.1498334,-0.000248
1,mean_test,-0.0006368,0.31208787,0.15604393,-0.002697
2,lr_tr,0.8859232,0.058183501,0.01709251,-3.265739568926812e+23
3,lr_te,0.8781678,0.06111526,0.019011167,0.787575
4,ppln_lr_tr,0.8718419,0.061202141,0.019202351,0.76703
5,ppln_lr_te,0.86247707,0.064859433,0.021459618,0.749055
6,ppln_kbest_tr,0.8821577,0.05630417,0.017656712,0.774363
7,ppln_kbest_te,0.876071,0.05888752,0.01933836,0.752611
8,rnd_for_reg_tr,0.9999368121568096,0.040558863948694464,0.8661974530462665,0.999352
9,rnd_for_reg_te,0.9998809154931012,0.07745694393550752,1.7892183950164893,1.0
10,log_reg_tr,0.09114604427649275,1.696198,510.0467247,0.856161
11,log_reg_te,0.9998809154931012,2.401979,782.888604,0.839134
